brand,category,type,capacity,model_code,product_name,mrp_npr,short_description,detailed_specs,specs_list,image_url,photo_path,warranty,source,whatsapp
AURA,Air Conditioner,air conditioner,1 Ton / 12000 BTU,AU12FSWAC,AURA Air Conditioner 1 Ton Non Inverter Split Type AC - AU12NSWAC,53500,&nbsp;B rand Name : Aura&nbsp; | | Model NO : Au12NSWAC | | Capacity : 1 Ton | | On/Off Compressor | | Sleek and Elegant Design | | | Gold Fin Coated Pipe | | 4 Way Air Flow | | Type: Heating Pump | | Remote Control | | EER/COP: 3.21/3.40 | | 1 year&nbsp; Full Service Warranty &amp; 3 Years Warranty on Compressor | | | Indoor Unit Dimensions (W x D x H in MM): 777 × 250 × 201 | | Outdoor Unit Dimensions (W x D x H in MM): 777 × 290 × 498,Brand: AURA; SKU: 133291003_NP-1052970515; Inverter: No; Connecting Wire: Yes; air_conditioner_rated_capacity: 1 Ton / 12000 BTU; Room Size: 180 SqFt; type_air_conditioner: Not Specified; Kit Included: Yes; Power Consumption: 1300; Model: AU12FSWAC; Warranty Policy EN: 1 year  Full Service Warranty & 3 Years Warranty on Compressor,Brand: AURA | SKU: 133291003_NP-1052970515 | Inverter: No | Connecting Wire: Yes | air_conditioner_rated_capacity: 1 Ton / 12000 BTU | Room Size: 180 SqFt | type_air_conditioner: Not Specified | Kit Included: Yes | Power Consumption: 1300 | Model: AU12FSWAC | Warranty Policy EN: 1 year  Full Service Warranty & 3 Years Warranty on Compressor,https://static-01.daraz.com.np/p/2873afb7e40cd39f0d918a74b04a7677.png,photos\AURA\AU12FSWAC.png,1 year Full Service Warranty & 3 Years Warranty on Compressor,daraz_scrape,9779765985999
AURA,Air Conditioner,air conditioner,,AURA-Portable-Air-Conditi,Portable Air Conditioner Usb Desktop Cooler Conditioning Humidifier Mini Cooling Fan,999,"Fast Cooling Down & Personal Air Cooler & Air Humidifier - Portable Cooling Fan with strong wind, 5 spray humidification modes and 600ml water tank design, which can effectively provide cool air flow where you need it most. What the best is adding ice water to make it a mini air conditioner, giving you moist and fresh cold air. Cools you down in seconds in a hot kitchen, bedroom or office. Not only can humidify the air, but also drive cool air circulation in your room. Portable Mini Size & Easy to Use - This portable air conditioner fan is design with mini size of length 7.87″, width 3.34″, height 10.23″, and equated with 1.5m USB cable, which you can charge anywhere by simply connecting to a device that supports a USB port, provide a more convenient life for you. And unique leather handle design, which is stylish and durable, easy to carry, perfect for outdoor camping, picnic, travel, home, office, etc. A great summer gift for your family or friends! Adjustable Speeds & Automatic Timing - Our air cooling fan with 3 wind speeds and 5 Spray Modes, which can efficiently cool the hot air & humidify dry air around you. Manual up-down to adjust blowing direction and three automatic timi",Brand: No Brand; SKU: 142481244_NP-2211096112; Model: no,Brand: No Brand | SKU: 142481244_NP-2211096112 | Model: no,https://static-01.daraz.com.np/p/2569d4e5bf2faf454022961c0ddabda4.jpg,photos\AURA\no.jpg,"If your product does not come with any warranty, then you can still benefit from our return policy. Please read the return policy conditions here .",daraz_scrape,9779765985999
AURA,Air Conditioner,air conditioner,,AURA-Wall-Hole-Sealing-Gl,Wall Hole Sealing Glue Air Conditioner Hole Repair Waterproof,120,• Wall Hole Sealing Glue for waterproofing and repairing air conditioner holes. • Perfect for DIY and outdoor painting and decorating projects. • Provides a strong and long-lasting seal. • Easy to apply and dries quickly. • Ideal for use on a variety of surfaces. • Helps to prevent water damage and air leaks. • A must-have for any home repair toolkit. Highlights: • Wall Hole Sealing Glue for waterproofing and repairing air conditioner holes. | • Perfect for DIY and outdoor painting and decorating projects. | • Provides a strong and long-lasting seal. | • Easy to apply and dries quickly. | • Ideal for use on a variety of surfaces. | • Helps to prevent water damage and air leaks. | • A must-have for any home repair toolkit.,Brand: No Brand; SKU: 129504266_NP-1037467090,Brand: No Brand | SKU: 129504266_NP-1037467090,https://static-01.daraz.com.np/p/e4d7432e2546d22731ac6eaf48d1cf53.jpg,photos\AURA\129504266-NP-1037467090.jpg,"If your product does not come with any warranty, then you can still benefit from our return policy. Please read the return policy conditions here .",daraz_scrape,9779765985999
AURA,Air Cooler,Desert Air Cooler,65 Ltr,AURA-COOL-65L,AURA 65 Litre Heavy Duty Desert Air Cooler,15990,"AURA 65L Desert Air Cooler with large ice compartment, dense honeycomb pads, and high velocity airflow.",Tank Capacity: 65L | Dense Honeycomb Cooling Pads | Ice Chamber | Multi-Directional Air Flow | Inverter Friendly,Tank Capacity: 65L | Dense Honeycomb Cooling Pads | Ice Chamber | Multi-Directional Air Flow | Inverter Friendly,https://static-01.daraz.com.np/p/aura-65l-desert-air-cooler.jpg,,1 Year Motor Warranty,daraz_market,9779765985999
AURA,Air Cooler,air cooler,2 Ton / 24000 BTU,AU24NSWAC,AURA Air Conditioner 2 Ton Non Inverter Split Type AC - AU24NSWAC,103500,2 Ton | | On/Off Compressor | | 3 Years Warranty on Compressor | | Sleek and Elegant Design | | Gold Fin Coated Pipe | | 4 Way Air Flow | | Type: Heating Pump | | Remote Control | | EER/COP: 3.22/3.63 | | Suitable Area: 30-40 Sq. m. | | Indoor Unit Dimensions (W x D x H in MM): 1010 × 315 × 220 | | Outdoor Unit Dimensions&nbsp;(W x D x H in MM): 886 × 357 × 605,Brand: AURA; SKU: 131786022_NP-1038983379; Inverter: No; Connecting Wire: Yes; air_conditioner_rated_capacity: 2 Ton / 24000 BTU; Room Size: 30-90 sq meters; type_air_conditioner: Single Split System; Kit Included: Yes; Power Consumption: 2830; Model: AU24NSWAC,Brand: AURA | SKU: 131786022_NP-1038983379 | Inverter: No | Connecting Wire: Yes | air_conditioner_rated_capacity: 2 Ton / 24000 BTU | Room Size: 30-90 sq meters | type_air_conditioner: Single Split System | Kit Included: Yes | Power Consumption: 2830 | Model: AU24NSWAC,https://static-01.daraz.com.np/p/d115d23727f63623e337d7997c73ab21.png,photos\AURA\AU24NSWAC.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Refrigerator,air cooler,110 L,AURA,AURA Chest Freezer 110 Ltrs - AUCF110HW,31510,3 Years Warranty on Compressor | | Glossy White Plastic Inner Coating | | Super Freezing Capacity | | Sliding Glass Door | | Adjustable Wheels | | Led Light | | External Handle | | Mechanical temperature control | | Lock and Key | | Basket,Brand: AURA; SKU: 131837189_NP-1039067537,Brand: AURA | SKU: 131837189_NP-1039067537,https://static-01.daraz.com.np/p/c91a7f74e4c68afca27606148cda9c34.png,photos\AURA\131837189-NP-1039067537.png,1 Year Seller Warranty,daraz_scrape,9779765985999
AURA,Small Home Appliance,air cooler,,AU20ICGB,Aura 2000 Watt Induction AU20ICGB,4530,"2000W, Black Crystal Top, Attractive flower pattern, touch Control, Auto cook Mode, Timer Function",Brand: AURA; SKU: 119954027_NP-1032793630,Brand: AURA | SKU: 119954027_NP-1032793630,https://static-01.daraz.com.np/p/1da8988f811277dd7d3e95d3b9c04b58.jpg,photos\AURA\119954027-NP-1032793630.jpg,1 Year Brand Warranty,daraz_scrape,9779765985999
AURA,Air Cooler,air cooler,0.18,180ML,"Bulk Bazaar Premium Humidifier | AuraDecor Flame Aroma Diffuser Humidifier 180ML | Ultrasonic Cool Mist Air Humidifier with Flame Effect | Essential Oil Diffuser, 7 Color Night Light, Auto Shut Off, Ultra Quiet for Bedroom, Home & Office",3000,"Create a calming and luxurious atmosphere with the AuraDecor Flame Aroma Diffuser Humidifier 180ML, a stylish 3-in-1 ultrasonic cool mist humidifier, aroma diffuser, and ambient night light. Designed with a realistic flame effect, this diffuser uses advanced ultrasonic mist technology and LED lighting to simulate a soothing flame—perfect for relaxation, meditation, yoga, and sleep. The 180ml water tank delivers continuous mist for up to 8–10 hours, helping improve air quality, reduce dryness, and support skin hydration. Add a few drops of essential oils to enjoy aromatherapy benefits like stress relief and better sleep. With ultra-quiet 30dB operation, USB power, and automatic shut-off safety protection, it’s ideal for bedrooms, offices, desks, massage rooms, and daily home use. Highlights: 3-in-1 Flame Aroma Diffuser Humidifier | | – Works as humidifier, essential oil diffuser &amp; night lamp | | | | | | Realistic Flame Effect Design | | – LED light and mist create a calming flame ambiance | | | | | | Ultrasonic Cool Mist Technology | | – Even mist output without heat or noise | | | | | | 180ML Water Tank Capacity | | – Lasts up to 8–10 hours on a single refill | | | | | | Ultra-","Brand: No Brand; SKU: 1512069513_NP-12295659580; Room Size: Not Specified; Capacity (Litres): 0.18; Air Humidifier Features: Large Capacity,Purifier,Aromatherapy,LED light,USB Charging","Brand: No Brand | SKU: 1512069513_NP-12295659580 | Room Size: Not Specified | Capacity (Litres): 0.18 | Air Humidifier Features: Large Capacity,Purifier,Aromatherapy,LED light,USB Charging",https://static-01.daraz.com.np/p/de4d6ce7a62707e61366b5e996281ca3.png,photos\AURA\1512069513-NP-12295659580.png,"If your product does not come with any warranty, then you can still benefit from our return policy. Please read the return policy conditions here .",daraz_scrape,9779765985999
AURA,Microwave Oven,microwave oven,25 L,AUMG2515M,Aura 25 Ltr Grill Microwave (AUMG2515M),16500,Product Specification 25 Ltr Grill Function Power Usage Function Power (Watt) Heating 900W Grill 1000W Highlights: 3 Years Warranty on Magnetron | | | | | | Gourmet Oven | | | | | | 25+ Auto Cook Menus | | | | | | Cooking End Signal | | | | | | Touch LED Display | | | | | | 6 Power Levels | | | | | | Defrost by weight &amp; time,Brand: AURA; SKU: 491086761_NP-2203637680; Model: AUMG2515M; Warranty Policy EN: 1 x Aura 25 Ltr Microwave,Brand: AURA | SKU: 491086761_NP-2203637680 | Model: AUMG2515M | Warranty Policy EN: 1 x Aura 25 Ltr Microwave,https://static-01.daraz.com.np/p/a8d19c3db1974aad5ed2dc1e277f5b03.png,photos\AURA\AUMG2515M.png,3 Years Brand Warranty,daraz_scrape,9779765985999
AURA,Microwave Oven,microwave oven,25 L,AUMC2550M,Aura 25 Ltr Grill and Convection Microwave (AUMC2550M),21900,25 Ltr | | | | | | 3 Years Warranty on Magnetron | | | | | | 190+cooking menus | | | | | | 99:99 cooking timer | | | | | | cooking end signal | | | | | | multi cooking stage | | | | | | 11 microwave output power level | | | | | | Defrost by weight or time,Brand: AURA; SKU: 122097714_NP-1033196320; Model: AUMC2550M,Brand: AURA | SKU: 122097714_NP-1033196320 | Model: AUMC2550M,https://static-01.daraz.com.np/p/0d9531d0db314329d552590eb56e7534.png,photos\AURA\AUMC2550M.png,1 Year Brand Warranty,daraz_scrape,9779765985999
