brand,category,type,capacity,model_code,product_name,mrp_npr,photo_path,photo_url,image_url,warranty,source,whatsapp
AURA,Air Conditioner,air conditioner,1 Ton / 12000 BTU,AU12FSWAC,AURA Air Conditioner 1 Ton Non Inverter Split Type AC - AU12NSWAC,53500,photos\AURA\AU12FSWAC.webp,https://joinelectroniccenter.com/photos/AURA/AU12FSWAC.webp,https://static-01.daraz.com.np/p/2873afb7e40cd39f0d918a74b04a7677.png,1 year Full Service Warranty & 3 Years Warranty on Compressor,daraz_scrape,9779851045662
AURA,Air Conditioner,air conditioner,,AURA-Portable-Air-Conditi,Portable Air Conditioner Usb Desktop Cooler Conditioning Humidifier Mini Cooling Fan,999,photos\AURA\no.webp,https://joinelectroniccenter.com/photos/AURA/no.webp,https://static-01.daraz.com.np/p/2569d4e5bf2faf454022961c0ddabda4.jpg,"If your product does not come with any warranty, then you can still benefit from our return policy. Please read the return policy conditions here .",daraz_scrape,9779851045662
AURA,Air Conditioner,air conditioner,,AURA-Wall-Hole-Sealing-Gl,Wall Hole Sealing Glue Air Conditioner Hole Repair Waterproof,120,photos\AURA\129504266-NP-1037467090.webp,https://joinelectroniccenter.com/photos/AURA/129504266-NP-1037467090.webp,https://static-01.daraz.com.np/p/e4d7432e2546d22731ac6eaf48d1cf53.jpg,"If your product does not come with any warranty, then you can still benefit from our return policy. Please read the return policy conditions here .",daraz_scrape,9779851045662
AURA,Air Cooler,Desert Air Cooler,65 Ltr,AURA-COOL-65L,AURA 65 Litre Heavy Duty Desert Air Cooler,15990,photos\AURA\AURA-COOL-65L.webp,https://joinelectroniccenter.com/photos/AURA/AURA-COOL-65L.webp,,1 Year Motor Warranty,daraz_market,9779851045662
AURA,Air Cooler,air cooler,2 Ton / 24000 BTU,AU24NSWAC,AURA Air Conditioner 2 Ton Non Inverter Split Type AC - AU24NSWAC,103500,photos\AURA\AU24NSWAC.webp,https://joinelectroniccenter.com/photos/AURA/AU24NSWAC.webp,https://static-01.daraz.com.np/p/d115d23727f63623e337d7997c73ab21.png,1 Year Seller Warranty,daraz_scrape,9779851045662
AURA,Refrigerator,air cooler,110 L,AURA,AURA Chest Freezer 110 Ltrs - AUCF110HW,31510,photos\AURA\131837189-NP-1039067537.webp,https://joinelectroniccenter.com/photos/AURA/131837189-NP-1039067537.webp,https://static-01.daraz.com.np/p/c91a7f74e4c68afca27606148cda9c34.png,1 Year Seller Warranty,daraz_scrape,9779851045662
AURA,Small Home Appliance,air cooler,,AU20ICGB,Aura 2000 Watt Induction AU20ICGB,4530,photos\AURA\119954027-NP-1032793630.webp,https://joinelectroniccenter.com/photos/AURA/119954027-NP-1032793630.webp,https://static-01.daraz.com.np/p/1da8988f811277dd7d3e95d3b9c04b58.jpg,1 Year Brand Warranty,daraz_scrape,9779851045662
AURA,Air Cooler,air cooler,0.18,180ML,"Bulk Bazaar Premium Humidifier | AuraDecor Flame Aroma Diffuser Humidifier 180ML | Ultrasonic Cool Mist Air Humidifier with Flame Effect | Essential Oil Diffuser, 7 Color Night Light, Auto Shut Off, Ultra Quiet for Bedroom, Home & Office",3000,photos\AURA\1512069513-NP-12295659580.webp,https://joinelectroniccenter.com/photos/AURA/1512069513-NP-12295659580.webp,https://static-01.daraz.com.np/p/de4d6ce7a62707e61366b5e996281ca3.png,"If your product does not come with any warranty, then you can still benefit from our return policy. Please read the return policy conditions here .",daraz_scrape,9779851045662
AURA,Microwave Oven,microwave oven,25 L,AUMG2515M,Aura 25 Ltr Grill Microwave (AUMG2515M),16500,photos\AURA\AUMG2515M.webp,https://joinelectroniccenter.com/photos/AURA/AUMG2515M.webp,https://static-01.daraz.com.np/p/a8d19c3db1974aad5ed2dc1e277f5b03.png,3 Years Brand Warranty,daraz_scrape,9779851045662
AURA,Microwave Oven,microwave oven,25 L,AUMC2550M,Aura 25 Ltr Grill and Convection Microwave (AUMC2550M),21900,photos\AURA\AUMC2550M.webp,https://joinelectroniccenter.com/photos/AURA/AUMC2550M.webp,https://static-01.daraz.com.np/p/0d9531d0db314329d552590eb56e7534.png,1 Year Brand Warranty,daraz_scrape,9779851045662
AURA,Microwave Oven,microwave oven,32 L,AUMC32150FM,Aura 32 Ltr Grill and Convection Microwave (AUMC32150FM),28900,photos\AURA\125065403-NP-1033956663.webp,https://joinelectroniccenter.com/photos/AURA/125065403-NP-1033956663.webp,https://static-01.daraz.com.np/p/d0b12b9204e4463cd7d216ab0d7cb738.jpg,1 Year Brand Warranty,daraz_scrape,9779851045662
AURA,Refrigerator,refrigerator,250,AUCF250HW,AURA Chest Freezer 250 Ltrs - AUCF250HW,49348,photos\AURA\AUCF250HW.webp,https://joinelectroniccenter.com/photos/AURA/AUCF250HW.webp,https://static-01.daraz.com.np/p/26f9b48b6d3ba94fcf7b0741be2394b8.png,1 Year Seller Warranty,daraz_scrape,9779851045662
